BTB_a_5,BTB_h_5,Def EFG_a_5,Def EFG_h_5,Def FTFGA_a_5,Def FTFGA_h_5,Def ORB_a_5,Def ORB_h_5,Def TOV_a_5,Def TOV_h_5,EFG_a_5,EFG_h_5,FTFGA_a_5,FTFGA_h_5,Game_ID,Home_5,ORB_a_5,ORB_h_5,TOV_a_5,TOV_h_5,Win_5,Win Pct_a_5,Win Pct_h_5,n games_a_5,n games_h_5,BTB_a_15,BTB_h_15,Def EFG_a_15,Def EFG_h_15,Def FTFGA_a_15,Def FTFGA_h_15,Def ORB_a_15,Def ORB_h_15,Def TOV_a_15,Def TOV_h_15,EFG_a_15,EFG_h_15,FTFGA_a_15,FTFGA_h_15,Home_15,ORB_a_15,ORB_h_15,TOV_a_15,TOV_h_15,Win_15,Win Pct_a_15,Win Pct_h_15,n games_a_15,n games_h_15
0,0,0.52440000000000009,0.54020000000000001,0.40060000000000001,0.35659999999999997,0.23019999999999996,0.248,0.15699999999999997,0.12120000000000002,0.48660000000000003,0.49640000000000006,0.1832,0.30759999999999998,21400142,1.0,0.26700000000000002,0.26139999999999997,0.13500000000000001,0.1246,0.0,0.0,0.20000000000000001,5,5,0,0,0.51819999999999999,0.50475000000000003,0.37430000000000002,0.37212499999999998,0.26070000000000004,0.24074999999999999,0.15409999999999996,0.13412500000000002,0.4849,0.47062500000000002,0.19409999999999999,0.3135,1.0,0.2671,0.26437499999999997,0.14620000000000002,0.13775000000000001,0.0,0.20000000000000001,0.25,10,8
0,0,0.48319999999999996,0.46139999999999998,0.28040000000000004,0.34039999999999998,0.29500000000000004,0.26900000000000002,0.15340000000000001,0.16719999999999999,0.52399999999999991,0.45199999999999996,0.2974,0.22400000000000003,21400143,1.0,0.1522,0.2792,0.13620000000000002,0.16700000000000001,1.0,0.40000000000000002,0.40000000000000002,5,5,0,0,0.51611111111111108,0.46166666666666661,0.33344444444444443,0.33100000000000002,0.2563333333333333,0.26844444444444443,0.16388888888888886,0.16944444444444443,0.53188888888888886,0.46888888888888886,0.33644444444444438,0.22700000000000001,1.0,0.21611111111111109,0.26577777777777778,0.15299999999999997,0.1778888888888889,1.0,0.55555555555555558,0.44444444444444442,9,9
0,0,0.47560000000000002,0.4612,0.22139999999999999,0.2732,0.24459999999999998,0.28700000000000003,0.13240000000000002,0.2036,0.48380000000000001,0.51240000000000008,0.20680000000000001,0.35719999999999996,21400144,1.0,0.2432,0.27700000000000002,0.14999999999999999,0.1956,1.0,0.40000000000000002,0.80000000000000004,5,5,0,0,0.48339999999999994,0.45222222222222225,0.253,0.28500000000000003,0.25280000000000002,0.26933333333333331,0.12769999999999998,0.17777777777777778,0.4824,0.52355555555555555,0.29070000000000007,0.39766666666666661,1.0,0.25,0.29022222222222221,0.17440000000000003,0.19211111111111112,1.0,0.29999999999999999,0.88888888888888884,10,9
0,1,0.51400000000000001,0.46779999999999999,0.29720000000000002,0.2762,0.26399999999999996,0.21340000000000003,0.14020000000000002,0.15040000000000001,0.46739999999999993,0.54959999999999998,0.34460000000000002,0.23580000000000001,21400145,1.0,0.27479999999999999,0.2024,0.12279999999999999,0.19639999999999999,1.0,0.20000000000000001,0.59999999999999998,5,5,0,1,0.5451111111111111,0.45566666666666666,0.37200000000000005,0.28833333333333333,0.27477777777777779,0.24077777777777776,0.1488888888888889,0.17366666666666666,0.46744444444444444,0.5567777777777777,0.34811111111111109,0.27466666666666673,1.0,0.27644444444444444,0.20488888888888887,0.13877777777777778,0.1981111111111111,1.0,0.1111111111111111,0.77777777777777779,9,9
0,0,0.5222,0.49939999999999996,0.20880000000000001,0.35039999999999993,0.24299999999999997,0.27160000000000001,0.13520000000000001,0.22139999999999999,0.47820000000000001,0.54379999999999995,0.3044,0.28860000000000002,21400146,1.0,0.23879999999999998,0.27379999999999999,0.1366,0.11939999999999999,1.0,0.40000000000000002,0.80000000000000004,5,5,0,0,0.49899999999999994,0.5202,0.23629999999999995,0.29169999999999996,0.21180000000000004,0.30020000000000002,0.14009999999999997,0.20070000000000002,0.46870000000000001,0.54239999999999999,0.29899999999999999,0.25929999999999997,1.0,0.23089999999999997,0.25670000000000004,0.1426,0.11820000000000001,1.0,0.40000000000000002,0.69999999999999996,10,10
0,1,0.52659999999999996,0.53500000000000003,0.21640000000000001,0.29600000000000004,0.25600000000000001,0.23820000000000002,0.13900000000000001,0.12919999999999998,0.5494,0.48920000000000002,0.37959999999999999,0.2954,21400147,1.0,0.2374,0.26900000000000002,0.11440000000000002,0.1328,1.0,0.80000000000000004,0.20000000000000001,5,5,0,1,0.53600000000000003,0.51300000000000001,0.23312500000000003,0.37022222222222223,0.25862499999999999,0.23799999999999999,0.15337500000000001,0.13777777777777778,0.51187499999999997,0.47055555555555562,0.33324999999999999,0.31388888888888888,1.0,0.26575000000000004,0.25966666666666666,0.13150000000000001,0.14211111111111113,1.0,0.625,0.22222222222222221,8,9
0,0,0.52160000000000006,0.52719999999999989,0.25560000000000005,0.40120000000000006,0.22259999999999999,0.19900000000000001,0.097400000000000014,0.17760000000000001,0.54620000000000002,0.48659999999999998,0.21680000000000002,0.28520000000000001,21400148,1.0,0.26200000000000001,0.23900000000000002,0.15499999999999997,0.14379999999999998,1.0,0.40000000000000002,0.40000000000000002,5,5,0,0,0.53262500000000002,0.50560000000000005,0.29662500000000003,0.36460000000000004,0.22825000000000001,0.22339999999999999,0.13150000000000001,0.15960000000000002,0.52637500000000004,0.49529999999999996,0.21074999999999999,0.27620000000000006,1.0,0.27949999999999997,0.2258,0.14649999999999999,0.14169999999999999,1.0,0.375,0.5,8,10
0,1,0.51419999999999999,0.49320000000000003,0.27660000000000007,0.27979999999999999,0.26379999999999998,0.26019999999999999,0.16120000000000001,0.15920000000000001,0.50039999999999996,0.53800000000000003,0.29520000000000002,0.27700000000000002,21400149,1.0,0.23900000000000002,0.15280000000000002,0.14840000000000003,0.1552,1.0,0.40000000000000002,0.40000000000000002,5,5,0,1,0.49888888888888894,0.5152000000000001,0.2894444444444445,0.3352,0.26122222222222219,0.24349999999999999,0.14811111111111111,0.16410000000000002,0.51477777777777767,0.52729999999999999,0.26477777777777778,0.33289999999999997,1.0,0.23600000000000002,0.20910000000000001,0.14466666666666669,0.15579999999999999,1.0,0.44444444444444442,0.5,9,10
0,0,0.46719999999999995,0.49540000000000006,0.31159999999999999,0.23900000000000002,0.24159999999999998,0.21639999999999998,0.11440000000000002,0.13840000000000002,0.47560000000000002,0.5324000000000001,0.246,0.28739999999999999,21400150,1.0,0.2412,0.17280000000000001,0.13879999999999998,0.16,1.0,0.20000000000000001,0.40000000000000002,5,5,0,0,0.47430000000000005,0.48199999999999998,0.28499999999999998,0.30299999999999999,0.24769999999999998,0.22909090909090904,0.11860000000000001,0.13200000000000001,0.46650000000000008,0.50854545454545463,0.27590000000000003,0.2563636363636364,1.0,0.25880000000000003,0.214,0.13519999999999999,0.17136363636363638,1.0,0.29999999999999999,0.36363636363636365,10,11
0,1,0.50800000000000001,0.4244,0.22160000000000002,0.28260000000000007,0.31759999999999999,0.2762,0.16120000000000001,0.19979999999999998,0.46760000000000002,0.4506,0.35680000000000001,0.3528,21400151,1.0,0.29200000000000004,0.29559999999999997,0.11679999999999999,0.19359999999999999,0.0,0.80000000000000004,0.80000000000000004,5,5,0,1,0.48130000000000006,0.43859999999999999,0.24820000000000003,0.29770000000000002,0.28299999999999997,0.26800000000000002,0.17980000000000002,0.17879999999999999,0.47450000000000009,0.50429999999999997,0.32329999999999998,0.39539999999999997,1.0,0.25660000000000005,0.30049999999999999,0.13419999999999999,0.19220000000000001,0.0,0.90000000000000002,0.90000000000000002,10,10
0,0,0.48159999999999997,0.53199999999999992,0.27460000000000001,0.37819999999999998,0.16839999999999999,0.26540000000000002,0.1482,0.18959999999999999,0.47660000000000002,0.45379999999999993,0.26480000000000004,0.28700000000000003,21400152,1.0,0.22959999999999997,0.26979999999999993,0.1246,0.21179999999999999,0.0,0.59999999999999998,0.0,5,5,0,0,0.48433333333333334,0.52644444444444438,0.27711111111111109,0.35833333333333328,0.19222222222222221,0.28411111111111115,0.14222222222222222,0.19088888888888889,0.47955555555555551,0.46455555555555555,0.29000000000000004,0.30299999999999999,1.0,0.23066666666666669,0.23966666666666661,0.15299999999999997,0.19844444444444445,0.0,0.55555555555555558,0.0,9,9
0,0,0.46760000000000002,0.48740000000000006,0.3236,0.36919999999999997,0.25019999999999998,0.27400000000000002,0.11499999999999999,0.15340000000000004,0.52239999999999998,0.57539999999999991,0.26020000000000004,0.20499999999999999,21400153,1.0,0.28520000000000001,0.21399999999999997,0.14080000000000001,0.121,0.0,0.80000000000000004,0.80000000000000004,5,5,0,0,0.44950000000000001,0.47837500000000011,0.29730000000000001,0.34949999999999998,0.2475,0.266625,0.12390000000000001,0.14937500000000004,0.5171,0.51612499999999994,0.2515,0.24799999999999997,1.0,0.28500000000000003,0.251,0.1452,0.11887499999999999,0.0,0.69999999999999996,0.625,10,8
0,0,0.51519999999999999,0.50659999999999994,0.29039999999999999,0.2792,0.21880000000000002,0.26659999999999995,0.14999999999999999,0.14699999999999999,0.54220000000000002,0.505,0.35419999999999996,0.30379999999999996,21400154,1.0,0.15760000000000002,0.26060000000000005,0.14499999999999999,0.13979999999999998,1.0,0.59999999999999998,0.59999999999999998,5,5,0,0,0.51624999999999999,0.46489999999999998,0.35012500000000002,0.26620000000000005,0.23675000000000002,0.29149999999999998,0.17225000000000001,0.1389,0.51637500000000003,0.51649999999999996,0.36462499999999998,0.34820000000000001,1.0,0.18037499999999998,0.24060000000000001,0.138125,0.15299999999999997,1.0,0.625,0.69999999999999996,8,10
0,0,0.54280000000000006,0.5404000000000001,0.17960000000000001,0.308,0.24559999999999998,0.26139999999999997,0.1492,0.14560000000000001,0.51600000000000001,0.46279999999999999,0.30519999999999997,0.3382,21400155,1.0,0.2452,0.2782,0.16599999999999998,0.11220000000000001,1.0,0.80000000000000004,0.20000000000000001,5,5,0,0,0.51544444444444448,0.55220000000000002,0.26144444444444448,0.37430000000000002,0.26177777777777778,0.27549999999999997,0.1587777777777778,0.14910000000000001,0.52311111111111108,0.46160000000000007,0.2907777777777778,0.35670000000000002,1.0,0.21111111111111111,0.28209999999999996,0.16311111111111112,0.13159999999999999,1.0,0.55555555555555558,0.10000000000000001,9,10
0,0,0.45860000000000001,0.49680000000000002,0.31840000000000002,0.39379999999999998,0.26240000000000002,0.2346,0.16980000000000001,0.15679999999999999,0.4758,0.51119999999999999,0.2492,0.20760000000000001,21400156,1.0,0.23679999999999998,0.25020000000000003,0.16860000000000003,0.13820000000000002,0.0,0.59999999999999998,0.20000000000000001,5,5,0,0,0.46410000000000001,0.51381818181818184,0.32800000000000001,0.36909090909090908,0.25619999999999998,0.25718181818181818,0.1706,0.15618181818181817,0.47269999999999995,0.49345454545454542,0.2394,0.20872727272727276,1.0,0.252,0.26245454545454544,0.17670000000000002,0.14809090909090911,0.0,0.5,0.27272727272727271,10,11
0,0,0.50480000000000003,0.44679999999999997,0.23819999999999997,0.25440000000000007,0.30460000000000004,0.28139999999999998,0.12079999999999999,0.15279999999999999,0.51219999999999999,0.43819999999999998,0.33340000000000003,0.26140000000000002,21400157,1.0,0.22360000000000002,0.2432,0.14579999999999999,0.14500000000000002,0.0,0.40000000000000002,0.40000000000000002,5,5,0,0,0.52199999999999991,0.46954545454545454,0.2491818181818182,0.2640909090909091,0.26281818181818184,0.26554545454545453,0.12354545454545454,0.13363636363636364,0.51463636363636356,0.46727272727272734,0.30418181818181816,0.30172727272727279,1.0,0.26500000000000007,0.25054545454545452,0.16327272727272726,0.17563636363636367,0.0,0.36363636363636365,0.27272727272727271,11,11
0,1,0.50639999999999996,0.49659999999999993,0.31359999999999999,0.39719999999999994,0.20880000000000001,0.29799999999999999,0.1242,0.16539999999999999,0.47919999999999996,0.5706,0.37380000000000002,0.20280000000000001,21400158,1.0,0.28579999999999994,0.2142,0.15079999999999999,0.11660000000000001,1.0,0.40000000000000002,0.59999999999999998,5,5,0,1,0.48220000000000007,0.48588888888888893,0.3196,0.34433333333333332,0.21399999999999997,0.26622222222222219,0.13310000000000002,0.15400000000000003,0.47260000000000002,0.5116666666666666,0.44729999999999998,0.24533333333333335,1.0,0.29290000000000005,0.25455555555555553,0.16289999999999999,0.11900000000000002,1.0,0.59999999999999998,0.55555555555555558,10,9
0,0,0.52679999999999993,0.44779999999999998,0.19440000000000002,0.2994,0.2266,0.15640000000000001,0.13599999999999998,0.15279999999999999,0.55659999999999998,0.48159999999999997,0.32660000000000006,0.24399999999999999,21400159,1.0,0.24359999999999998,0.17660000000000001,0.1206,0.1196,1.0,0.80000000000000004,0.80000000000000004,5,5,0,0,0.53788888888888886,0.47079999999999994,0.22677777777777777,0.27830000000000005,0.25366666666666665,0.18280000000000002,0.15344444444444444,0.14169999999999999,0.50988888888888884,0.48219999999999991,0.3285555555555556,0.28690000000000004,1.0,0.26188888888888889,0.22259999999999999,0.13444444444444445,0.15529999999999999,1.0,0.55555555555555558,0.59999999999999998,9,10
